Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
1.00,0,0.05,200,50,13282435.00,11870406.66
0.80,0,0.05,200,50,13169213.00,7864263.26
0.60,0,0.05,200,50,13183472.00,8209010.46
1.00,0,0.10,200,50,13317728.00,9895867.10
0.80,0,0.10,200,50,12858595.00,8976393.74
0.60,0,0.10,200,50,12695746.00,7905171.48
1.00,2,0.01,200,50,13266764.00,10854032.10
0.80,2,0.01,200,50,13267655.00,12497849.62
0.60,2,0.01,200,50,13279628.00,11523362.38
1.00,2,0.05,200,50,13390342.00,12465914.30
0.80,2,0.05,200,50,13341609.00,11114438.38
0.60,2,0.05,200,50,13317156.00,12480171.36
1.00,2,0.10,200,50,13378057.00,9623516.12
0.80,2,0.10,200,50,13400932.00,10946926.92
0.60,2,0.10,200,50,13348944.00,9043598.44
1.00,2,0.01,200,50,13252542.00,12595630.84
0.80,2,0.01,200,50,13257429.00,11959208.06
0.60,2,0.01,200,50,13384464.00,11673771.66
1.00,2,0.05,200,50,13501943.00,11420047.72
0.80,2,0.05,200,50,13306694.00,8504991.84
0.60,2,0.05,200,50,13354834.00,9956584.52
1.00,2,0.10,200,50,13324479.00,10079410.36
0.80,2,0.10,200,50,13332370.00,9143274.24
0.60,2,0.10,200,50,13377972.00,9277468.62
1.00,6,0.01,200,50,13452724.00,12607869.28
0.80,6,0.01,200,50,13379161.00,11096030.50
0.60,6,0.01,200,50,13282507.00,12205929.56
1.00,6,0.05,200,50,13405640.00,11719093.24
0.80,6,0.05,200,50,13347262.00,11706925.70
0.60,6,0.05,200,50,13386042.00,11762263.14
1.00,6,0.10,200,50,13331008.00,11692189.42
0.80,6,0.10,200,50,13390627.00,10717117.58
0.60,6,0.10,200,50,13497192.00,11147809.68
1.00,10,0.01,200,50,13355379.00,11745371.30
0.80,10,0.01,200,50,13279189.00,12390929.92
0.60,10,0.01,200,50,13346539.00,12627595.60
1.00,10,0.05,200,50,13417644.00,11986354.70
0.80,10,0.05,200,50,13214374.00,12524505.42
0.60,10,0.05,200,50,13223721.00,11552619.90
1.00,10,0.10,200,50,13275487.00,11587639.70
0.80,10,0.10,200,50,13215645.00,11021806.40
0.60,10,0.10,200,50,13363842.00,10087435.06
1.00,0,0.01,25,75,13331402.00,8963983.23
0.80,0,0.01,25,75,13115778.00,8251392.69
0.60,0,0.01,25,75,13048625.00,8956936.28
1.00,0,0.05,25,75,13422654.00,11140202.81
0.80,0,0.05,25,75,13342408.00,9843048.24
0.60,0,0.05,25,75,13356451.00,10497266.60
